data,regiao,estado,produto,categoria,quantidade,valor,meta_atingida
2025-08-13,Nordeste,CE,SSD,Hardware,1,436.61,Não
2025-08-17,Sudeste,MG,Mouse,Acessórios,7,526.92,Sim
2025-10-05,Centro-Oeste,GO,Placa de Vídeo,Hardware,7,19093.82,Sim
2025-09-17,Nordeste,BA,Mesa,Móveis,4,3808.86,Não
2025-01-25,Sudeste,SP,Cadeira,Móveis,2,2339.2,Não
2025-01-04,Norte,PA,Placa de Vídeo,Hardware,1,2687.51,Sim
2025-08-09,Nordeste,PE,Mouse,Acessórios,1,82.73,Não
2025-07-19,Nordeste,CE,Mesa,Móveis,7,6721.23,Sim
2025-04-17,Sudeste,SP,Headset,Acessórios,2,370.37,Sim
2025-06-19,Sul,RS,Placa de Vídeo,Hardware,14,34436.48,Sim
2025-10-16,Sudeste,MG,Cadeira,Móveis,4,4614.11,Não
2025-10-19,Norte,PA,SSD,Hardware,10,4222.34,Sim
2025-08-17,Sul,SC,Mouse,Acessórios,10,758.77,Sim
2025-05-02,Centro-Oeste,GO,SSD,Hardware,7,2993.21,Sim
2025-04-21,Sul,RS,Notebook,Eletrônicos,13,38366.01,Não
2025-07-13,Sudeste,RJ,Monitor,Eletrônicos,2,2030.01,Sim
2025-05-02,Sul,PR,Mouse,Acessórios,4,307.95,Sim
2025-08-12,Sudeste,SP,Mesa,Móveis,4,3297.73,Não
2025-09-12,Centro-Oeste,GO,SSD,Hardware,2,787.35,Sim
2025-01-03,Sul,SC,Teclado,Acessórios,5,575.06,Sim
2025-01-27,Nordeste,PE,Cadeira,Móveis,5,5541.99,Sim
2025-03-07,Sudeste,MG,Mouse,Acessórios,11,814.22,Não
2025-11-09,Norte,PA,Placa de Vídeo,Hardware,5,12541.06,Sim
2025-09-12,Norte,AM,Cadeira,Móveis,13,14215.52,Sim
2025-03-23,Nordeste,CE,Teclado,Acessórios,11,1294.36,Sim
2025-11-21,Sudeste,SP,Placa de Vídeo,Hardware,13,33178.99,Não
2025-06-21,Sul,RS,Notebook,Eletrônicos,2,6235.14,Não
2025-07-07,Sudeste,SP,Placa de Vídeo,Hardware,14,35397.83,Sim
2025-12-23,Sudeste,SP,Monitor,Eletrônicos,9,7988.75,Sim
2025-01-23,Nordeste,BA,Headset,Acessórios,14,2457.93,Não
2025-03-13,Nordeste,PE,SSD,Hardware,5,1999.91,Sim
2025-08-15,Norte,PA,Mesa,Móveis,14,12971.66,Sim
2025-03-02,Sudeste,RJ,Placa de Vídeo,Hardware,9,25237.59,Sim
2025-09-21,Sudeste,MG,Mesa,Móveis,2,1902.04,Sim
2025-03-26,Sul,RS,Cadeira,Móveis,6,6904.66,Sim
2025-02-13,Sudeste,SP,Teclado,Acessórios,2,241.22,Sim
2025-03-15,Sudeste,SP,Notebook,Eletrônicos,14,43470.92,Sim
2025-06-14,Sul,RS,Monitor,Eletrônicos,5,4958.19,Sim
2025-03-03,Sudeste,RJ,Headset,Acessórios,4,792.19,Não
2025-02-17,Nordeste,BA,Notebook,Eletrônicos,8,27010.14,Sim
2025-11-20,Sudeste,MG,Mouse,Acessórios,6,510.37,Sim
2025-05-26,Centro-Oeste,GO,Mesa,Móveis,2,1761.3,Não
2025-05-26,Nordeste,BA,Placa de Vídeo,Hardware,12,32532.24,Sim
2025-01-14,Sudeste,RJ,Mouse,Acessórios,12,1007.06,Não
2025-05-26,Centro-Oeste,GO,SSD,Hardware,11,4478.41,Sim
2025-04-15,Nordeste,CE,Placa de Vídeo,Hardware,9,25007.08,Não
2025-08-18,Sudeste,MG,SSD,Hardware,6,2356.44,Sim
2025-03-17,Sudeste,RJ,Mouse,Acessórios,8,690.61,Sim
2025-11-27,Nordeste,BA,Headset,Acessórios,8,1585.69,Sim
2025-12-20,Sudeste,SP,Placa de Vídeo,Hardware,3,7292.4,Sim
2025-02-04,Sudeste,SP,Headset,Acessórios,2,389.5,Sim
2025-02-02,Sudeste,SP,Teclado,Acessórios,4,444.22,Não
2025-02-12,Nordeste,CE,Notebook,Eletrônicos,7,23368.35,Não
2025-08-14,Nordeste,BA,SSD,Hardware,3,1320.32,Sim
2025-02-19,Nordeste,BA,Cadeira,Móveis,2,2337.69,Não
2025-11-14,Nordeste,CE,Notebook,Eletrônicos,12,40592.55,Não
2025-10-14,Sul,RS,Monitor,Eletrônicos,6,5333.27,Não
2025-10-25,Sul,PR,Mouse,Acessórios,9,694.19,Não
2025-07-10,Sudeste,SP,Mouse,Acessórios,8,631.21,Sim
